año,comuna,división,descripción división,empresas
2020,Sin Georreferenciar,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",3400
2020,Sin Georreferenciar,68,Actividades inmobiliarias,1026
2020,Sin Georreferenciar,56,Actividades de servicios de comidas y bebidas,954
2020,Sin Georreferenciar,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",785
2020,Sin Georreferenciar,70,Actividades de administración empresarial; actividades de consultoría de gestión,628
2020,Santa Elena,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
2020,Santa Elena,02,Silvicultura y extracción de madera,0
2020,Santa Elena,03,Pesca y acuicultura,0
2020,Santa Elena,05,Extracción de carbón de piedra y lignito,0
2020,Santa Elena,07,Extracción de minerales metalíferos,0
2020,Santa Cruz,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",494
2020,Santa Cruz,56,Actividades de servicios de comidas y bebidas,117
2020,Santa Cruz,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,62
2020,Santa Cruz,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",42
2020,Santa Cruz,96,Otras actividades de servicios personales,36
2020,San Javier,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",623
2020,San Javier,56,Actividades de servicios de comidas y bebidas,135
2020,San Javier,14,Confección de prendas de vestir,77
2020,San Javier,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,77
2020,San Javier,10,Elaboración de productos alimenticios,63
2020,San Cristobal,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
2020,San Cristobal,02,Silvicultura y extracción de madera,0
2020,San Cristobal,03,Pesca y acuicultura,0
2020,San Cristobal,05,Extracción de carbón de piedra y lignito,0
2020,San Cristobal,07,Extracción de minerales metalíferos,0
2020,San Antonio De Prado,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
2020,San Antonio De Prado,02,Silvicultura y extracción de madera,0
2020,San Antonio De Prado,03,Pesca y acuicultura,0
2020,San Antonio De Prado,05,Extracción de carbón de piedra y lignito,0
2020,San Antonio De Prado,07,Extracción de minerales metalíferos,0
2020,Robledo,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",964
2020,Robledo,56,Actividades de servicios de comidas y bebidas,245
2020,Robledo,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,117
2020,Robledo,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",108
2020,Robledo,10,Elaboración de productos alimenticios,106
2020,Popular,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",435
2020,Popular,56,Actividades de servicios de comidas y bebidas,123
2020,Popular,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,39
2020,Popular,10,Elaboración de productos alimenticios,30
2020,Popular,96,Otras actividades de servicios personales,27
2020,Palmitas,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
2020,Palmitas,02,Silvicultura y extracción de madera,0
2020,Palmitas,03,Pesca y acuicultura,0
2020,Palmitas,05,Extracción de carbón de piedra y lignito,0
2020,Palmitas,07,Extracción de minerales metalíferos,0
2020,Manrique,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",768
2020,Manrique,56,Actividades de servicios de comidas y bebidas,169
2020,Manrique,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,89
2020,Manrique,96,Otras actividades de servicios personales,66
2020,Manrique,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",64
2020,Laureles Estadio,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1706
2020,Laureles Estadio,56,Actividades de servicios de comidas y bebidas,707
2020,Laureles Estadio,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",616
2020,Laureles Estadio,68,Actividades inmobiliarias,608
2020,Laureles Estadio,96,Otras actividades de servicios personales,409
2020,La Candelaria,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",5264
2020,La Candelaria,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",1340
2020,La Candelaria,56,Actividades de servicios de comidas y bebidas,1293
2020,La Candelaria,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",1207
2020,La Candelaria,14,Confección de prendas de vestir,931
2020,La America,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",977
2020,La America,56,Actividades de servicios de comidas y bebidas,244
2020,La America,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",201
2020,La America,96,Otras actividades de servicios personales,188
2020,La America,14,Confección de prendas de vestir,133
2020,Guayabal,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",770
2020,Guayabal,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",410
2020,Guayabal,14,Confección de prendas de vestir,263
2020,Guayabal,56,Actividades de servicios de comidas y bebidas,253
2020,Guayabal,68,Actividades inmobiliarias,208
2020,El Poblado,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1276
2020,El Poblado,70,Actividades de administración empresarial; actividades de consultoría de gestión,1068
2020,El Poblado,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",833
2020,El Poblado,56,Actividades de servicios de comidas y bebidas,710
2020,El Poblado,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",702
2020,Doce De Octubre,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",805
2020,Doce De Octubre,56,Actividades de servicios de comidas y bebidas,141
2020,Doce De Octubre,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,87
2020,Doce De Octubre,10,Elaboración de productos alimenticios,85
