"AÑO","CIIU","Descripción","ALTAVISTA","ARANJUEZ","BELEN","BUENOS AIRES","CASTILLA","DOCE DE OCTUBRE","EL POBLADO","GUAYABAL","LA AMERICA","LA CANDELARIA","LAURELES-ESTADIO","MANRIQUE","PALMITAS","POPULAR","ROBLEDO","SAN ANTONIO DE PRADO","SAN CRISTOBAL","SAN JAVIER","SANTA CRUZ","SANTA ELENA","VILLA HERMOSA","Sin georreferenciar"
"2019","5,920","Actividades de grabación de sonido y edición de musica","0","1","12","2","1","2","23","4","8","6","16","2","0","1","0","0","0","1","0","0","2","19"
"2019","6,010","Actividades de programación y transmisión en el servicio de radiodifusión sonora","0","1","2","0","0","0","5","0","1","1","18","1","0","0","2","0","0","0","0","0","0","5"
"2019","6,020","Actividades de programación y transmisión de televisión","0","0","1","0","0","1","2","2","1","4","7","0","0","0","0","0","0","0","0","0","0","7"
"2019","6,110","Actividades de telecomunicaciones alámbricas","0","1","3","1","1","1","7","8","5","7","4","3","0","1","2","0","0","0","0","0","1","14"
"2019","6,120","Actividades de telecomunicaciones inalámbricas","0","1","5","0","2","1","1","3","2","23","6","0","0","0","0","0","0","3","1","0","0","8"
"2019","6,130","Actividades de telecomunicación satelital","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"2019","6,190","Otras actividades de telecomunicaciones","0","13","34","13","11","11","17","13","16","83","37","11","0","6","22","0","0","7","4","0","9","51"
"2019","6,201","Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)","0","30","84","25","17","9","267","55","52","57","125","3","0","1","18","0","0","12","2","0","13","206"
"2019","6,202","Actividades de consultoría informática y actividades de administración de instalaciones informáticas","0","8","41","11","5","2","150","23","18","30","43","3","0","0","9","0","0","4","1","0","4","87"
"2019","6,209","Otras actividades de tecnologías de información y actividades de servicios informáticos","0","5","30","6","4","3","85","10","15","23","38","3","0","1","3","0","0","6","0","0","5","40"
"2019","6,311","Procesamiento de datos, alojamiento (hosting) y actividades relacionadas","0","4","20","6","2","2","38","7","21","14","50","1","0","1","4","0","0","2","0","0","4","28"
"2019","6,312","Portales web","0","3","10","2","4","0","10","1","8","12","17","0","0","2","2","0","0","0","2","0","0","27"
"2019","6,391","Actividades de agencias de noticias","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2"
"2019","6,399","Otras actividades de servicio de información n.c.p.","0","0","7","2","1","2","29","5","3","4","7","0","0","0","1","0","0","1","0","0","1","13"
"2019","6,412","Bancos comerciales","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","6,421","Actividades de las corporaciones financieras","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2019","6,422","Actividades de las compañías de financiamiento","0","0","1","0","0","0","3","0","0","1","2","1","0","0","0","0","0","0","0","0","0","1"
"2019","6,431","Fideicomisos, fondos y entidades financieras similares","0","0","1","0","0","0","1","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"2019","6,492","Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","6,493","Actividades de compra de cartera o factoring","0","0","0","0","0","0","14","1","0","4","0","0","0","0","2","0","0","0","0","0","0","3"
"2019","6,494","Otras actividades de distribución de fondos","0","0","3","1","0","0","92","9","1","12","8","0","0","0","1","0","0","2","0","0","0","40"
"2019","6,499","Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.","0","1","9","1","3","1","80","5","4","45","14","1","0","0","0","0","0","0","0","0","0","21"
"2019","6,511","Seguros generales","0","0","8","4","2","0","16","1","1","14","6","0","0","0","0","0","0","0","0","0","1","11"
"2019","6,512","Seguros de vida","0","0","3","0","0","0","6","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1"
"2019","6,514","Capitalización","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","6,521","Servicios de seguros sociales de salud","0","1","2","0","0","0","1","1","0","1","1","0","0","0","1","0","0","0","1","0","0","3"
"2019","6,522","Servicios de seguros sociales de riesgos profesionales","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1"
"2019","6,532","Régimen de ahorro individual (RAI)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","6,611","Administración de mercados financieros","0","0","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1"
"2019","6,612","Corretaje de valores y de contratos de productos básicos","0","0","0","0","0","0","8","0","0","5","1","0","0","0","0","0","0","0","0","0","0","2"
